,Unnamed: 0,State,Year,Pop,X.1,X,Management,Specialisation,Seats,censuscode,ST_CEN_CD,UG_PG,st_new,Seats2
75,76,UTTAR PRADESH,2001.0,166053600.0,3889.0,3889.0,Private,Rehabilitation,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
76,77,UTTAR PRADESH,2001.0,166053600.0,3914.0,3914.0,Public,Rehabilitation,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
77,78,UTTAR PRADESH,2001.0,166053600.0,3992.0,3992.0,Both,Rehabilitation,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
78,79,UTTAR PRADESH,2001.0,166053600.0,4044.0,4044.0,Private,Pathology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
79,80,UTTAR PRADESH,2001.0,166053600.0,4069.0,4069.0,Public,Pathology,42.0,146.0,34.0,PG,Uttar Pradesh,0.252930379106505
80,81,UTTAR PRADESH,2001.0,166053600.0,4147.0,4147.0,Both,Pathology,42.0,146.0,34.0,PG,Uttar Pradesh,0.252930379106505
81,82,UTTAR PRADESH,2001.0,166053600.0,4199.0,4199.0,Private,PlasticSurgery,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
82,83,UTTAR PRADESH,2001.0,166053600.0,4224.0,4224.0,Public,PlasticSurgery,6.0,146.0,34.0,PG,Uttar Pradesh,0.0361329113009293
83,84,UTTAR PRADESH,2001.0,166053600.0,4302.0,4302.0,Both,PlasticSurgery,6.0,146.0,34.0,PG,Uttar Pradesh,0.0361329113009293
84,85,UTTAR PRADESH,2001.0,166053600.0,4354.0,4354.0,Private,ENT,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
85,86,UTTAR PRADESH,2001.0,166053600.0,4379.0,4379.0,Public,ENT,18.0,146.0,34.0,PG,Uttar Pradesh,0.10839873390278801
86,87,UTTAR PRADESH,2001.0,166053600.0,4457.0,4457.0,Both,ENT,18.0,146.0,34.0,PG,Uttar Pradesh,0.10839873390278801
87,88,UTTAR PRADESH,2001.0,166053600.0,4509.0,4509.0,Private,Geriatrics,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
88,89,UTTAR PRADESH,2001.0,166053600.0,4534.0,4534.0,Public,Geriatrics,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
89,90,UTTAR PRADESH,2001.0,166053600.0,4612.0,4612.0,Both,Geriatrics,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
90,91,UTTAR PRADESH,2001.0,166053600.0,4664.0,4664.0,Private,Immunology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
91,92,UTTAR PRADESH,2001.0,166053600.0,4689.0,4689.0,Public,Immunology,6.0,146.0,34.0,PG,Uttar Pradesh,0.0361329113009293
92,93,UTTAR PRADESH,2001.0,166053600.0,4767.0,4767.0,Both,Immunology,6.0,146.0,34.0,PG,Uttar Pradesh,0.0361329113009293
93,94,UTTAR PRADESH,2001.0,166053600.0,4819.0,4819.0,Private,Admin,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
94,95,UTTAR PRADESH,2001.0,166053600.0,4844.0,4844.0,Public,Admin,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
95,96,UTTAR PRADESH,2001.0,166053600.0,4922.0,4922.0,Both,Admin,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
96,97,UTTAR PRADESH,2001.0,166053600.0,4974.0,4974.0,Private,PublicHealth,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
97,98,UTTAR PRADESH,2001.0,166053600.0,4999.0,4999.0,Public,PublicHealth,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
98,99,UTTAR PRADESH,2001.0,166053600.0,5077.0,5077.0,Both,PublicHealth,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
99,100,UTTAR PRADESH,2001.0,166053600.0,5129.0,5129.0,Private,Sports,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
100,101,UTTAR PRADESH,2001.0,166053600.0,5154.0,5154.0,Public,Sports,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
101,102,UTTAR PRADESH,2001.0,166053600.0,5232.0,5232.0,Both,Sports,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
102,103,UTTAR PRADESH,2001.0,166053600.0,5284.0,5284.0,Private,Education,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
103,104,UTTAR PRADESH,2001.0,166053600.0,5309.0,5309.0,Public,Education,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
104,105,UTTAR PRADESH,2001.0,166053600.0,5387.0,5387.0,Both,Education,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
105,106,UTTAR PRADESH,2001.0,166053600.0,5439.0,5439.0,Private,Genetics,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
106,107,UTTAR PRADESH,2001.0,166053600.0,5464.0,5464.0,Public,Genetics,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
107,108,UTTAR PRADESH,2001.0,166053600.0,5542.0,5542.0,Both,Genetics,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
108,109,UTTAR PRADESH,2001.0,166053600.0,5594.0,5594.0,Private,Hepatology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
109,110,UTTAR PRADESH,2001.0,166053600.0,5619.0,5619.0,Public,Hepatology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
110,111,UTTAR PRADESH,2001.0,166053600.0,5697.0,5697.0,Both,Hepatology,0.0,146.0,34.0,PG,Uttar Pradesh,0.0
111,112,MAHARASHTRA,2001.0,96752500.0,7.0,7.0,Private,All,169.0,522.0,21.0,PG,Maharashtra,1.7467248908296897
112,113,MAHARASHTRA,2001.0,96752500.0,31.0,31.0,Public,All,1425.0,522.0,21.0,PG,Maharashtra,14.728301594274098
113,114,MAHARASHTRA,2001.0,96752500.0,107.0,107.0,Both,All,1594.0,522.0,21.0,PG,Maharashtra,16.4750264851037
114,115,MAHARASHTRA,2001.0,96752500.0,162.0,162.0,Private,Anaesthesia,8.0,522.0,21.0,PG,Maharashtra,0.0826852019327666
115,116,MAHARASHTRA,2001.0,96752500.0,186.0,186.0,Public,Anaesthesia,178.0,522.0,21.0,PG,Maharashtra,1.83974574300406
116,117,MAHARASHTRA,2001.0,96752500.0,262.0,262.0,Both,Anaesthesia,186.0,522.0,21.0,PG,Maharashtra,1.92243094493682
117,118,MAHARASHTRA,2001.0,96752500.0,317.0,317.0,Private,Cardiology,0.0,522.0,21.0,PG,Maharashtra,0.0
118,119,MAHARASHTRA,2001.0,96752500.0,341.0,341.0,Public,Cardiology,15.0,522.0,21.0,PG,Maharashtra,0.15503475362393698
119,120,MAHARASHTRA,2001.0,96752500.0,417.0,417.0,Both,Cardiology,15.0,522.0,21.0,PG,Maharashtra,0.15503475362393698
120,121,MAHARASHTRA,2001.0,96752500.0,472.0,472.0,Private,Neurology,0.0,522.0,21.0,PG,Maharashtra,0.0
121,122,MAHARASHTRA,2001.0,96752500.0,496.0,496.0,Public,Neurology,14.0,522.0,21.0,PG,Maharashtra,0.144699103382342
122,123,MAHARASHTRA,2001.0,96752500.0,572.0,572.0,Both,Neurology,14.0,522.0,21.0,PG,Maharashtra,0.144699103382342
123,124,MAHARASHTRA,2001.0,96752500.0,627.0,627.0,Private,Oncology,0.0,522.0,21.0,PG,Maharashtra,0.0
124,125,MAHARASHTRA,2001.0,96752500.0,651.0,651.0,Public,Oncology,26.0,522.0,21.0,PG,Maharashtra,0.26872690628149104
125,126,MAHARASHTRA,2001.0,96752500.0,727.0,727.0,Both,Oncology,26.0,522.0,21.0,PG,Maharashtra,0.26872690628149104
126,127,MAHARASHTRA,2001.0,96752500.0,782.0,782.0,Private,Psychiatry,2.0,522.0,21.0,PG,Maharashtra,0.0206713004831916
127,128,MAHARASHTRA,2001.0,96752500.0,806.0,806.0,Public,Psychiatry,33.0,522.0,21.0,PG,Maharashtra,0.341076457972662
128,129,MAHARASHTRA,2001.0,96752500.0,882.0,882.0,Both,Psychiatry,35.0,522.0,21.0,PG,Maharashtra,0.361747758455854
129,130,MAHARASHTRA,2001.0,96752500.0,937.0,937.0,Private,Forensic,3.0,522.0,21.0,PG,Maharashtra,0.0310069507247875
130,131,MAHARASHTRA,2001.0,96752500.0,961.0,961.0,Public,Forensic,7.0,522.0,21.0,PG,Maharashtra,0.0723495516911708
131,132,MAHARASHTRA,2001.0,96752500.0,1037.0,1037.0,Both,Forensic,10.0,522.0,21.0,PG,Maharashtra,0.10335650241595801
132,133,MAHARASHTRA,2001.0,96752500.0,1092.0,1092.0,Private,Haematology,0.0,522.0,21.0,PG,Maharashtra,0.0
133,134,MAHARASHTRA,2001.0,96752500.0,1116.0,1116.0,Public,Haematology,2.0,522.0,21.0,PG,Maharashtra,0.0206713004831916
134,135,MAHARASHTRA,2001.0,96752500.0,1192.0,1192.0,Both,Haematology,2.0,522.0,21.0,PG,Maharashtra,0.0206713004831916
135,136,MAHARASHTRA,2001.0,96752500.0,1247.0,1247.0,Private,Gynaecology,17.0,522.0,21.0,PG,Maharashtra,0.17570605410712903
136,137,MAHARASHTRA,2001.0,96752500.0,1271.0,1271.0,Public,Gynaecology,140.0,522.0,21.0,PG,Maharashtra,1.4469910338234198
137,138,MAHARASHTRA,2001.0,96752500.0,1347.0,1347.0,Both,Gynaecology,157.0,522.0,21.0,PG,Maharashtra,1.6226970879305402
138,139,MAHARASHTRA,2001.0,96752500.0,1402.0,1402.0,Private,Endocrinology,0.0,522.0,21.0,PG,Maharashtra,0.0
139,140,MAHARASHTRA,2001.0,96752500.0,1426.0,1426.0,Public,Endocrinology,2.0,522.0,21.0,PG,Maharashtra,0.0206713004831916
140,141,MAHARASHTRA,2001.0,96752500.0,1502.0,1502.0,Both,Endocrinology,2.0,522.0,21.0,PG,Maharashtra,0.0206713004831916
141,142,MAHARASHTRA,2001.0,96752500.0,1557.0,1557.0,Private,Ophthalmology,4.0,522.0,21.0,PG,Maharashtra,0.0413426009663833
142,143,MAHARASHTRA,2001.0,96752500.0,1581.0,1581.0,Public,Ophthalmology,61.0,522.0,21.0,PG,Maharashtra,0.6304746647373449
143,144,MAHARASHTRA,2001.0,96752500.0,1657.0,1657.0,Both,Ophthalmology,65.0,522.0,21.0,PG,Maharashtra,0.6718172657037289
144,145,MAHARASHTRA,2001.0,96752500.0,1712.0,1712.0,Private,Pulmonology,0.0,522.0,21.0,PG,Maharashtra,0.0
145,146,MAHARASHTRA,2001.0,96752500.0,1736.0,1736.0,Public,Pulmonology,18.0,522.0,21.0,PG,Maharashtra,0.186041704348725
146,147,MAHARASHTRA,2001.0,96752500.0,1812.0,1812.0,Both,Pulmonology,18.0,522.0,21.0,PG,Maharashtra,0.186041704348725
147,148,MAHARASHTRA,2001.0,96752500.0,1867.0,1867.0,Private,Physiology,8.0,522.0,21.0,PG,Maharashtra,0.0826852019327666
148,149,MAHARASHTRA,2001.0,96752500.0,1891.0,1891.0,Public,Physiology,36.0,522.0,21.0,PG,Maharashtra,0.37208340869745
149,150,MAHARASHTRA,2001.0,96752500.0,1967.0,1967.0,Both,Physiology,44.0,522.0,21.0,PG,Maharashtra,0.454768610630216
150,151,MAHARASHTRA,2001.0,96752500.0,2022.0,2022.0,Private,Thoracic,0.0,522.0,21.0,PG,Maharashtra,0.0
151,152,MAHARASHTRA,2001.0,96752500.0,2046.0,2046.0,Public,Thoracic,13.0,522.0,21.0,PG,Maharashtra,0.134363453140746
152,153,MAHARASHTRA,2001.0,96752500.0,2122.0,2122.0,Both,Thoracic,13.0,522.0,21.0,PG,Maharashtra,0.134363453140746
153,154,MAHARASHTRA,2001.0,96752500.0,2177.0,2177.0,Private,Pharmacology,6.0,522.0,21.0,PG,Maharashtra,0.0620139014495749
154,155,MAHARASHTRA,2001.0,96752500.0,2201.0,2201.0,Public,Pharmacology,33.0,522.0,21.0,PG,Maharashtra,0.341076457972662
155,156,MAHARASHTRA,2001.0,96752500.0,2277.0,2277.0,Both,Pharmacology,39.0,522.0,21.0,PG,Maharashtra,0.40309035942223703
156,157,MAHARASHTRA,2001.0,96752500.0,2332.0,2332.0,Private,Dermatology,2.0,522.0,21.0,PG,Maharashtra,0.0206713004831916
157,158,MAHARASHTRA,2001.0,96752500.0,2356.0,2356.0,Public,Dermatology,24.0,522.0,21.0,PG,Maharashtra,0.2480556057983
158,159,MAHARASHTRA,2001.0,96752500.0,2432.0,2432.0,Both,Dermatology,26.0,522.0,21.0,PG,Maharashtra,0.26872690628149104
159,160,MAHARASHTRA,2001.0,96752500.0,2487.0,2487.0,Private,Radiology,10.0,522.0,21.0,PG,Maharashtra,0.10335650241595801
160,161,MAHARASHTRA,2001.0,96752500.0,2511.0,2511.0,Public,Radiology,79.0,522.0,21.0,PG,Maharashtra,0.81651636908607
161,162,MAHARASHTRA,2001.0,96752500.0,2587.0,2587.0,Both,Radiology,89.0,522.0,21.0,PG,Maharashtra,0.919872871502028
162,163,MAHARASHTRA,2001.0,96752500.0,2642.0,2642.0,Private,Microbiology,11.0,522.0,21.0,PG,Maharashtra,0.113692152657554
163,164,MAHARASHTRA,2001.0,96752500.0,2666.0,2666.0,Public,Microbiology,35.0,522.0,21.0,PG,Maharashtra,0.361747758455854
164,165,MAHARASHTRA,2001.0,96752500.0,2742.0,2742.0,Both,Microbiology,46.0,522.0,21.0,PG,Maharashtra,0.475439911113408
165,166,MAHARASHTRA,2001.0,96752500.0,2797.0,2797.0,Private,Orthopaedics,19.0,522.0,21.0,PG,Maharashtra,0.196377354590321
166,167,MAHARASHTRA,2001.0,96752500.0,2821.0,2821.0,Public,Orthopaedics,36.0,522.0,21.0,PG,Maharashtra,0.37208340869745
167,168,MAHARASHTRA,2001.0,96752500.0,2897.0,2897.0,Both,Orthopaedics,55.0,522.0,21.0,PG,Maharashtra,0.56846076328777
168,169,MAHARASHTRA,2001.0,96752500.0,2952.0,2952.0,Private,Anatomy,8.0,522.0,21.0,PG,Maharashtra,0.0826852019327666
169,170,MAHARASHTRA,2001.0,96752500.0,2976.0,2976.0,Public,Anatomy,30.0,522.0,21.0,PG,Maharashtra,0.310069507247875
170,171,MAHARASHTRA,2001.0,96752500.0,3052.0,3052.0,Both,Anatomy,38.0,522.0,21.0,PG,Maharashtra,0.39275470918064104
171,172,MAHARASHTRA,2001.0,96752500.0,3107.0,3107.0,Private,General,39.0,522.0,21.0,PG,Maharashtra,0.40309035942223703
172,173,MAHARASHTRA,2001.0,96752500.0,3131.0,3131.0,Public,General,260.0,522.0,21.0,PG,Maharashtra,2.6872690628149103
173,174,MAHARASHTRA,2001.0,96752500.0,3207.0,3207.0,Both,General,299.0,522.0,21.0,PG,Maharashtra,3.09035942223715
174,175,MAHARASHTRA,2001.0,96752500.0,3262.0,3262.0,Private,Paediatrics,1.0,522.0,21.0,PG,Maharashtra,0.0103356502415958
175,176,MAHARASHTRA,2001.0,96752500.0,3286.0,3286.0,Public,Paediatrics,71.0,522.0,21.0,PG,Maharashtra,0.733831167153303
176,177,MAHARASHTRA,2001.0,96752500.0,3362.0,3362.0,Both,Paediatrics,72.0,522.0,21.0,PG,Maharashtra,0.744166817394899
177,178,MAHARASHTRA,2001.0,96752500.0,3417.0,3417.0,Private,Urology,0.0,522.0,21.0,PG,Maharashtra,0.0
178,179,MAHARASHTRA,2001.0,96752500.0,3441.0,3441.0,Public,Urology,9.0,522.0,21.0,PG,Maharashtra,0.0930208521743624
179,180,MAHARASHTRA,2001.0,96752500.0,3517.0,3517.0,Both,Urology,9.0,522.0,21.0,PG,Maharashtra,0.0930208521743624
180,181,MAHARASHTRA,2001.0,96752500.0,3572.0,3572.0,Private,Nephrology,0.0,522.0,21.0,PG,Maharashtra,0.0
181,182,MAHARASHTRA,2001.0,96752500.0,3596.0,3596.0,Public,Nephrology,3.0,522.0,21.0,PG,Maharashtra,0.0310069507247875
182,183,MAHARASHTRA,2001.0,96752500.0,3672.0,3672.0,Both,Nephrology,3.0,522.0,21.0,PG,Maharashtra,0.0310069507247875
183,184,MAHARASHTRA,2001.0,96752500.0,3727.0,3727.0,Private,Gastroenterology,0.0,522.0,21.0,PG,Maharashtra,0.0
184,185,MAHARASHTRA,2001.0,96752500.0,3751.0,3751.0,Public,Gastroenterology,4.0,522.0,21.0,PG,Maharashtra,0.0413426009663833
