,State,Management,Year,Specialisation,Seats,censuscode,ST_CEN_CD,UG_PG,st_new
224,CHHATTISGARH,Public,2018.0,Anaesthesia,10.0,414.0,7.0,PG,Chhattisgarh
225,NCT OF DELHI,Public,2018.0,Anaesthesia,293.0,95.0,10.0,PG,NCT of Delhi
226,GOA,Public,2018.0,Anaesthesia,10.0,585.0,11.0,PG,Goa
227,GUJARAT,Public,2018.0,Anaesthesia,177.0,474.0,12.0,PG,Gujarat
228,HARYANA,Public,2018.0,Anaesthesia,44.0,70.0,13.0,PG,Haryana
229,HIMACHAL PRADESH,Public,2018.0,Anaesthesia,33.0,30.0,14.0,PG,Himachal Pradesh
230,JAMMU & KASHMIR,Public,2018.0,Anaesthesia,59.0,14.0,15.0,PG,Jammu & Kashmir
231,JHARKHAND,Public,2018.0,Anaesthesia,6.0,355.0,16.0,PG,Jharkhand
232,KARNATAKA,Public,2018.0,Anaesthesia,109.0,556.0,17.0,PG,Karnataka
233,KERALA,Public,2018.0,Anaesthesia,72.0,598.0,18.0,PG,Kerala
234,MADHYA PRADESH,Public,2018.0,Anaesthesia,54.0,465.0,20.0,PG,Madhya Pradesh
235,MAHARASHTRA,Public,2018.0,Anaesthesia,264.0,522.0,21.0,PG,Maharashtra
236,MANIPUR,Public,2018.0,Anaesthesia,20.0,275.0,22.0,PG,Manipur
237,MEGHALAYA,Public,2018.0,Anaesthesia,4.0,294.0,23.0,PG,Meghalaya
238,ODISHA,Public,2018.0,Anaesthesia,43.0,384.0,26.0,PG,Odisha
239,PUDUCHERRY,Public,2018.0,Anaesthesia,21.0,636.0,27.0,PG,Puducherry
240,PUNJAB,Public,2018.0,Anaesthesia,40.0,49.0,28.0,PG,Punjab
241,RAJASTHAN,Public,2018.0,Anaesthesia,178.0,119.0,29.0,PG,Rajasthan
242,TAMIL NADU,Public,2018.0,Anaesthesia,187.0,616.0,31.0,PG,Tamil Nadu
243,TELANGANA,Public,2018.0,Anaesthesia,81.0,532.0,32.0,PG,Telangana
244,TRIPURA,Public,2018.0,Anaesthesia,2.0,291.0,33.0,PG,Tripura
245,UTTAR PRADESH,Public,2018.0,Anaesthesia,154.0,146.0,34.0,PG,Uttar Pradesh
246,UTTARAKHAND,Public,2018.0,Anaesthesia,9.0,64.0,35.0,PG,Uttarakhand
247,WEST BENGAL,Public,2018.0,Anaesthesia,128.0,339.0,36.0,PG,West Bengal
248,ASSAM,Both,2001.0,Anaesthesia,18.0,324.0,4.0,PG,Assam
249,BIHAR,Both,2001.0,Anaesthesia,21.0,209.0,5.0,PG,Bihar
250,CHANDIGARH,Both,2001.0,Anaesthesia,5.0,55.0,6.0,PG,Chandigarh
251,CHHATTISGARH,Both,2001.0,Anaesthesia,0.0,414.0,7.0,PG,Chhattisgarh
252,GOA,Both,2001.0,Anaesthesia,3.0,585.0,11.0,PG,Goa
253,GUJARAT,Both,2001.0,Anaesthesia,21.0,474.0,12.0,PG,Gujarat
254,HARYANA,Both,2001.0,Anaesthesia,18.0,70.0,13.0,PG,Haryana
255,HIMACHAL PRADESH,Both,2001.0,Anaesthesia,0.0,30.0,14.0,PG,Himachal Pradesh
256,JAMMU & KASHMIR,Both,2001.0,Anaesthesia,26.0,14.0,15.0,PG,Jammu & Kashmir
257,JHARKHAND,Both,2001.0,Anaesthesia,4.0,355.0,16.0,PG,Jharkhand
258,KARNATAKA,Both,2001.0,Anaesthesia,143.0,556.0,17.0,PG,Karnataka
259,KERALA,Both,2001.0,Anaesthesia,27.0,598.0,18.0,PG,Kerala
260,MADHYA PRADESH,Both,2001.0,Anaesthesia,37.0,465.0,20.0,PG,Madhya Pradesh
261,MAHARASHTRA,Both,2001.0,Anaesthesia,186.0,522.0,21.0,PG,Maharashtra
262,MANIPUR,Both,2001.0,Anaesthesia,10.0,275.0,22.0,PG,Manipur
263,MEGHALAYA,Both,2001.0,Anaesthesia,2.0,294.0,23.0,PG,Meghalaya
264,NCT OF DELHI,Both,2001.0,Anaesthesia,126.0,95.0,10.0,PG,NCT of Delhi
265,ODISHA,Both,2001.0,Anaesthesia,15.0,384.0,26.0,PG,Odisha
266,PUDUCHERRY,Both,2001.0,Anaesthesia,0.0,636.0,27.0,PG,Puducherry
267,PUNJAB,Both,2001.0,Anaesthesia,50.0,49.0,28.0,PG,Punjab
268,RAJASTHAN,Both,2001.0,Anaesthesia,62.0,119.0,29.0,PG,Rajasthan
269,SIKKIM,Both,2001.0,Anaesthesia,0.0,244.0,30.0,PG,Sikkim
270,TAMIL NADU,Both,2001.0,Anaesthesia,118.0,616.0,31.0,PG,Tamil Nadu
271,UTTAR PRADESH,Both,2001.0,Anaesthesia,50.0,146.0,34.0,PG,Uttar Pradesh
272,UTTARAKHAND,Both,2001.0,Anaesthesia,5.0,64.0,35.0,PG,Uttarakhand
273,WEST BENGAL,Both,2001.0,Anaesthesia,22.0,339.0,36.0,PG,West Bengal
274,ANDAMAN & NICOBAR ISLAND,Both,2018.0,Anaesthesia,0.0,638.0,1.0,PG,Andaman & Nicobar Island
275,ANDHRA PRADESH,Both,2018.0,Anaesthesia,174.0,553.0,2.0,PG,Andhra Pradesh
276,ASSAM,Both,2018.0,Anaesthesia,40.0,324.0,4.0,PG,Assam
277,BIHAR,Both,2018.0,Anaesthesia,57.0,209.0,5.0,PG,Bihar
278,CHANDIGARH,Both,2018.0,Anaesthesia,57.0,55.0,6.0,PG,Chandigarh
279,CHHATTISGARH,Both,2018.0,Anaesthesia,10.0,414.0,7.0,PG,Chhattisgarh
280,GOA,Both,2018.0,Anaesthesia,10.0,585.0,11.0,PG,Goa
281,GUJARAT,Both,2018.0,Anaesthesia,220.0,474.0,12.0,PG,Gujarat
282,HARYANA,Both,2018.0,Anaesthesia,68.0,70.0,13.0,PG,Haryana
283,HIMACHAL PRADESH,Both,2018.0,Anaesthesia,33.0,30.0,14.0,PG,Himachal Pradesh
284,JAMMU & KASHMIR,Both,2018.0,Anaesthesia,63.0,14.0,15.0,PG,Jammu & Kashmir
285,JHARKHAND,Both,2018.0,Anaesthesia,6.0,355.0,16.0,PG,Jharkhand
286,KARNATAKA,Both,2018.0,Anaesthesia,350.0,556.0,17.0,PG,Karnataka
287,KERALA,Both,2018.0,Anaesthesia,127.0,598.0,18.0,PG,Kerala
288,MADHYA PRADESH,Both,2018.0,Anaesthesia,81.0,465.0,20.0,PG,Madhya Pradesh
289,MAHARASHTRA,Both,2018.0,Anaesthesia,398.0,522.0,21.0,PG,Maharashtra
290,MANIPUR,Both,2018.0,Anaesthesia,20.0,275.0,22.0,PG,Manipur
291,MEGHALAYA,Both,2018.0,Anaesthesia,4.0,294.0,23.0,PG,Meghalaya
292,NCT OF DELHI,Both,2018.0,Anaesthesia,293.0,95.0,10.0,PG,NCT of Delhi
293,ODISHA,Both,2018.0,Anaesthesia,67.0,384.0,26.0,PG,Odisha
294,PUDUCHERRY,Both,2018.0,Anaesthesia,49.0,636.0,27.0,PG,Puducherry
295,PUNJAB,Both,2018.0,Anaesthesia,73.0,49.0,28.0,PG,Punjab
296,RAJASTHAN,Both,2018.0,Anaesthesia,207.0,119.0,29.0,PG,Rajasthan
297,SIKKIM,Both,2018.0,Anaesthesia,0.0,244.0,30.0,PG,Sikkim
298,TAMIL NADU,Both,2018.0,Anaesthesia,261.0,616.0,31.0,PG,Tamil Nadu
299,TELANGANA,Both,2018.0,Anaesthesia,137.0,532.0,32.0,PG,Telangana
300,TRIPURA,Both,2018.0,Anaesthesia,2.0,291.0,33.0,PG,Tripura
301,UTTAR PRADESH,Both,2018.0,Anaesthesia,211.0,146.0,34.0,PG,Uttar Pradesh
302,UTTARAKHAND,Both,2018.0,Anaesthesia,28.0,64.0,35.0,PG,Uttarakhand
303,WEST BENGAL,Both,2018.0,Anaesthesia,134.0,339.0,36.0,PG,West Bengal
