"","State","Year","Pop","X.1","X","Management","Specialisation","Seats","censuscode","ST_CEN_CD","UG_PG","st_new","Seats2"
"21","UTTAR PRADESH",2001,166053600,1047,1047,"Both","Forensic",7,146,34,"PG","Uttar Pradesh",0.0421550631844176
"22","UTTAR PRADESH",2001,166053600,1099,1099,"Private","Haematology",0,146,34,"PG","Uttar Pradesh",0
"23","UTTAR PRADESH",2001,166053600,1124,1124,"Public","Haematology",2,146,34,"PG","Uttar Pradesh",0.0120443037669764
"24","UTTAR PRADESH",2001,166053600,1202,1202,"Both","Haematology",2,146,34,"PG","Uttar Pradesh",0.0120443037669764
"25","UTTAR PRADESH",2001,166053600,1254,1254,"Private","Gynaecology",0,146,34,"PG","Uttar Pradesh",0
"26","UTTAR PRADESH",2001,166053600,1279,1279,"Public","Gynaecology",52,146,34,"PG","Uttar Pradesh",0.313151897941388
"27","UTTAR PRADESH",2001,166053600,1357,1357,"Both","Gynaecology",52,146,34,"PG","Uttar Pradesh",0.313151897941388
"28","UTTAR PRADESH",2001,166053600,1409,1409,"Private","Endocrinology",0,146,34,"PG","Uttar Pradesh",0
"29","UTTAR PRADESH",2001,166053600,1434,1434,"Public","Endocrinology",5,146,34,"PG","Uttar Pradesh",0.0301107594174411
"30","UTTAR PRADESH",2001,166053600,1512,1512,"Both","Endocrinology",5,146,34,"PG","Uttar Pradesh",0.0301107594174411
"31","UTTAR PRADESH",2001,166053600,1564,1564,"Private","Ophthalmology",0,146,34,"PG","Uttar Pradesh",0
"32","UTTAR PRADESH",2001,166053600,1589,1589,"Public","Ophthalmology",40,146,34,"PG","Uttar Pradesh",0.240886075339529
"33","UTTAR PRADESH",2001,166053600,1667,1667,"Both","Ophthalmology",40,146,34,"PG","Uttar Pradesh",0.240886075339529
"34","UTTAR PRADESH",2001,166053600,1719,1719,"Private","Pulmonology",0,146,34,"PG","Uttar Pradesh",0
"35","UTTAR PRADESH",2001,166053600,1744,1744,"Public","Pulmonology",18,146,34,"PG","Uttar Pradesh",0.108398733902788
"36","UTTAR PRADESH",2001,166053600,1822,1822,"Both","Pulmonology",18,146,34,"PG","Uttar Pradesh",0.108398733902788
"37","UTTAR PRADESH",2001,166053600,1874,1874,"Private","Physiology",0,146,34,"PG","Uttar Pradesh",0
"38","UTTAR PRADESH",2001,166053600,1899,1899,"Public","Physiology",14,146,34,"PG","Uttar Pradesh",0.0843101263688351
"39","UTTAR PRADESH",2001,166053600,1977,1977,"Both","Physiology",14,146,34,"PG","Uttar Pradesh",0.0843101263688351
"40","UTTAR PRADESH",2001,166053600,2029,2029,"Private","Thoracic",0,146,34,"PG","Uttar Pradesh",0
"41","UTTAR PRADESH",2001,166053600,2054,2054,"Public","Thoracic",5,146,34,"PG","Uttar Pradesh",0.0301107594174411
"42","UTTAR PRADESH",2001,166053600,2132,2132,"Both","Thoracic",5,146,34,"PG","Uttar Pradesh",0.0301107594174411
"43","UTTAR PRADESH",2001,166053600,2184,2184,"Private","Pharmacology",0,146,34,"PG","Uttar Pradesh",0
"44","UTTAR PRADESH",2001,166053600,2209,2209,"Public","Pharmacology",12,146,34,"PG","Uttar Pradesh",0.0722658226018587
"45","UTTAR PRADESH",2001,166053600,2287,2287,"Both","Pharmacology",12,146,34,"PG","Uttar Pradesh",0.0722658226018587
"46","UTTAR PRADESH",2001,166053600,2339,2339,"Private","Dermatology",0,146,34,"PG","Uttar Pradesh",0
"47","UTTAR PRADESH",2001,166053600,2364,2364,"Public","Dermatology",12,146,34,"PG","Uttar Pradesh",0.0722658226018587
"48","UTTAR PRADESH",2001,166053600,2442,2442,"Both","Dermatology",12,146,34,"PG","Uttar Pradesh",0.0722658226018587
"49","UTTAR PRADESH",2001,166053600,2494,2494,"Private","Radiology",0,146,34,"PG","Uttar Pradesh",0
"50","UTTAR PRADESH",2001,166053600,2519,2519,"Public","Radiology",20,146,34,"PG","Uttar Pradesh",0.120443037669764
"51","UTTAR PRADESH",2001,166053600,2597,2597,"Both","Radiology",20,146,34,"PG","Uttar Pradesh",0.120443037669764
"52","UTTAR PRADESH",2001,166053600,2649,2649,"Private","Microbiology",0,146,34,"PG","Uttar Pradesh",0
"53","UTTAR PRADESH",2001,166053600,2674,2674,"Public","Microbiology",5,146,34,"PG","Uttar Pradesh",0.0301107594174411
"54","UTTAR PRADESH",2001,166053600,2752,2752,"Both","Microbiology",5,146,34,"PG","Uttar Pradesh",0.0301107594174411
"55","UTTAR PRADESH",2001,166053600,2804,2804,"Private","Orthopaedics",0,146,34,"PG","Uttar Pradesh",0
"56","UTTAR PRADESH",2001,166053600,2829,2829,"Public","Orthopaedics",38,146,34,"PG","Uttar Pradesh",0.228841771572552
"57","UTTAR PRADESH",2001,166053600,2907,2907,"Both","Orthopaedics",38,146,34,"PG","Uttar Pradesh",0.228841771572552
"58","UTTAR PRADESH",2001,166053600,2959,2959,"Private","Anatomy",0,146,34,"PG","Uttar Pradesh",0
"59","UTTAR PRADESH",2001,166053600,2984,2984,"Public","Anatomy",15,146,34,"PG","Uttar Pradesh",0.0903322782523233
"60","UTTAR PRADESH",2001,166053600,3062,3062,"Both","Anatomy",15,146,34,"PG","Uttar Pradesh",0.0903322782523233
"61","UTTAR PRADESH",2001,166053600,3114,3114,"Private","General",0,146,34,"PG","Uttar Pradesh",0
"62","UTTAR PRADESH",2001,166053600,3139,3139,"Public","General",114,146,34,"PG","Uttar Pradesh",0.686525314717657
"63","UTTAR PRADESH",2001,166053600,3217,3217,"Both","General",114,146,34,"PG","Uttar Pradesh",0.686525314717657
"64","UTTAR PRADESH",2001,166053600,3269,3269,"Private","Paediatrics",0,146,34,"PG","Uttar Pradesh",0
"65","UTTAR PRADESH",2001,166053600,3294,3294,"Public","Paediatrics",33,146,34,"PG","Uttar Pradesh",0.198731012155111
"66","UTTAR PRADESH",2001,166053600,3372,3372,"Both","Paediatrics",33,146,34,"PG","Uttar Pradesh",0.198731012155111
"67","UTTAR PRADESH",2001,166053600,3424,3424,"Private","Urology",0,146,34,"PG","Uttar Pradesh",0
"68","UTTAR PRADESH",2001,166053600,3449,3449,"Public","Urology",8,146,34,"PG","Uttar Pradesh",0.0481772150679058
"69","UTTAR PRADESH",2001,166053600,3527,3527,"Both","Urology",8,146,34,"PG","Uttar Pradesh",0.0481772150679058
"70","UTTAR PRADESH",2001,166053600,3579,3579,"Private","Nephrology",0,146,34,"PG","Uttar Pradesh",0
"71","UTTAR PRADESH",2001,166053600,3604,3604,"Public","Nephrology",6,146,34,"PG","Uttar Pradesh",0.0361329113009293
"72","UTTAR PRADESH",2001,166053600,3682,3682,"Both","Nephrology",6,146,34,"PG","Uttar Pradesh",0.0361329113009293
"73","UTTAR PRADESH",2001,166053600,3734,3734,"Private","Gastroenterology",0,146,34,"PG","Uttar Pradesh",0
"74","UTTAR PRADESH",2001,166053600,3759,3759,"Public","Gastroenterology",12,146,34,"PG","Uttar Pradesh",0.0722658226018587
"75","UTTAR PRADESH",2001,166053600,3837,3837,"Both","Gastroenterology",12,146,34,"PG","Uttar Pradesh",0.0722658226018587
"76","UTTAR PRADESH",2001,166053600,3889,3889,"Private","Rehabilitation",0,146,34,"PG","Uttar Pradesh",0
"77","UTTAR PRADESH",2001,166053600,3914,3914,"Public","Rehabilitation",0,146,34,"PG","Uttar Pradesh",0
"78","UTTAR PRADESH",2001,166053600,3992,3992,"Both","Rehabilitation",0,146,34,"PG","Uttar Pradesh",0
"79","UTTAR PRADESH",2001,166053600,4044,4044,"Private","Pathology",0,146,34,"PG","Uttar Pradesh",0
"80","UTTAR PRADESH",2001,166053600,4069,4069,"Public","Pathology",42,146,34,"PG","Uttar Pradesh",0.252930379106505
"81","UTTAR PRADESH",2001,166053600,4147,4147,"Both","Pathology",42,146,34,"PG","Uttar Pradesh",0.252930379106505
"82","UTTAR PRADESH",2001,166053600,4199,4199,"Private","PlasticSurgery",0,146,34,"PG","Uttar Pradesh",0
"83","UTTAR PRADESH",2001,166053600,4224,4224,"Public","PlasticSurgery",6,146,34,"PG","Uttar Pradesh",0.0361329113009293
"84","UTTAR PRADESH",2001,166053600,4302,4302,"Both","PlasticSurgery",6,146,34,"PG","Uttar Pradesh",0.0361329113009293
"85","UTTAR PRADESH",2001,166053600,4354,4354,"Private","ENT",0,146,34,"PG","Uttar Pradesh",0
"86","UTTAR PRADESH",2001,166053600,4379,4379,"Public","ENT",18,146,34,"PG","Uttar Pradesh",0.108398733902788
"87","UTTAR PRADESH",2001,166053600,4457,4457,"Both","ENT",18,146,34,"PG","Uttar Pradesh",0.108398733902788
"88","UTTAR PRADESH",2001,166053600,4509,4509,"Private","Geriatrics",0,146,34,"PG","Uttar Pradesh",0
"89","UTTAR PRADESH",2001,166053600,4534,4534,"Public","Geriatrics",0,146,34,"PG","Uttar Pradesh",0
"90","UTTAR PRADESH",2001,166053600,4612,4612,"Both","Geriatrics",0,146,34,"PG","Uttar Pradesh",0
"91","UTTAR PRADESH",2001,166053600,4664,4664,"Private","Immunology",0,146,34,"PG","Uttar Pradesh",0
"92","UTTAR PRADESH",2001,166053600,4689,4689,"Public","Immunology",6,146,34,"PG","Uttar Pradesh",0.0361329113009293
"93","UTTAR PRADESH",2001,166053600,4767,4767,"Both","Immunology",6,146,34,"PG","Uttar Pradesh",0.0361329113009293
"94","UTTAR PRADESH",2001,166053600,4819,4819,"Private","Admin",0,146,34,"PG","Uttar Pradesh",0
"95","UTTAR PRADESH",2001,166053600,4844,4844,"Public","Admin",0,146,34,"PG","Uttar Pradesh",0
"96","UTTAR PRADESH",2001,166053600,4922,4922,"Both","Admin",0,146,34,"PG","Uttar Pradesh",0
"97","UTTAR PRADESH",2001,166053600,4974,4974,"Private","PublicHealth",0,146,34,"PG","Uttar Pradesh",0
"98","UTTAR PRADESH",2001,166053600,4999,4999,"Public","PublicHealth",0,146,34,"PG","Uttar Pradesh",0
"99","UTTAR PRADESH",2001,166053600,5077,5077,"Both","PublicHealth",0,146,34,"PG","Uttar Pradesh",0
"100","UTTAR PRADESH",2001,166053600,5129,5129,"Private","Sports",0,146,34,"PG","Uttar Pradesh",0
"101","UTTAR PRADESH",2001,166053600,5154,5154,"Public","Sports",0,146,34,"PG","Uttar Pradesh",0
"102","UTTAR PRADESH",2001,166053600,5232,5232,"Both","Sports",0,146,34,"PG","Uttar Pradesh",0
"103","UTTAR PRADESH",2001,166053600,5284,5284,"Private","Education",0,146,34,"PG","Uttar Pradesh",0
"104","UTTAR PRADESH",2001,166053600,5309,5309,"Public","Education",0,146,34,"PG","Uttar Pradesh",0
"105","UTTAR PRADESH",2001,166053600,5387,5387,"Both","Education",0,146,34,"PG","Uttar Pradesh",0
"106","UTTAR PRADESH",2001,166053600,5439,5439,"Private","Genetics",0,146,34,"PG","Uttar Pradesh",0
"107","UTTAR PRADESH",2001,166053600,5464,5464,"Public","Genetics",0,146,34,"PG","Uttar Pradesh",0
"108","UTTAR PRADESH",2001,166053600,5542,5542,"Both","Genetics",0,146,34,"PG","Uttar Pradesh",0
"109","UTTAR PRADESH",2001,166053600,5594,5594,"Private","Hepatology",0,146,34,"PG","Uttar Pradesh",0
"110","UTTAR PRADESH",2001,166053600,5619,5619,"Public","Hepatology",0,146,34,"PG","Uttar Pradesh",0
"111","UTTAR PRADESH",2001,166053600,5697,5697,"Both","Hepatology",0,146,34,"PG","Uttar Pradesh",0
"112","MAHARASHTRA",2001,96752500,7,7,"Private","All",169,522,21,"PG","Maharashtra",1.74672489082969
"113","MAHARASHTRA",2001,96752500,31,31,"Public","All",1425,522,21,"PG","Maharashtra",14.7283015942741
"114","MAHARASHTRA",2001,96752500,107,107,"Both","All",1594,522,21,"PG","Maharashtra",16.4750264851037
"115","MAHARASHTRA",2001,96752500,162,162,"Private","Anaesthesia",8,522,21,"PG","Maharashtra",0.0826852019327666
"116","MAHARASHTRA",2001,96752500,186,186,"Public","Anaesthesia",178,522,21,"PG","Maharashtra",1.83974574300406
"117","MAHARASHTRA",2001,96752500,262,262,"Both","Anaesthesia",186,522,21,"PG","Maharashtra",1.92243094493682
"118","MAHARASHTRA",2001,96752500,317,317,"Private","Cardiology",0,522,21,"PG","Maharashtra",0
"119","MAHARASHTRA",2001,96752500,341,341,"Public","Cardiology",15,522,21,"PG","Maharashtra",0.155034753623937
"120","MAHARASHTRA",2001,96752500,417,417,"Both","Cardiology",15,522,21,"PG","Maharashtra",0.155034753623937
"121","MAHARASHTRA",2001,96752500,472,472,"Private","Neurology",0,522,21,"PG","Maharashtra",0
"122","MAHARASHTRA",2001,96752500,496,496,"Public","Neurology",14,522,21,"PG","Maharashtra",0.144699103382342
"123","MAHARASHTRA",2001,96752500,572,572,"Both","Neurology",14,522,21,"PG","Maharashtra",0.144699103382342
"124","MAHARASHTRA",2001,96752500,627,627,"Private","Oncology",0,522,21,"PG","Maharashtra",0
"125","MAHARASHTRA",2001,96752500,651,651,"Public","Oncology",26,522,21,"PG","Maharashtra",0.268726906281491
"126","MAHARASHTRA",2001,96752500,727,727,"Both","Oncology",26,522,21,"PG","Maharashtra",0.268726906281491
"127","MAHARASHTRA",2001,96752500,782,782,"Private","Psychiatry",2,522,21,"PG","Maharashtra",0.0206713004831916
"128","MAHARASHTRA",2001,96752500,806,806,"Public","Psychiatry",33,522,21,"PG","Maharashtra",0.341076457972662
"129","MAHARASHTRA",2001,96752500,882,882,"Both","Psychiatry",35,522,21,"PG","Maharashtra",0.361747758455854
"130","MAHARASHTRA",2001,96752500,937,937,"Private","Forensic",3,522,21,"PG","Maharashtra",0.0310069507247875
"131","MAHARASHTRA",2001,96752500,961,961,"Public","Forensic",7,522,21,"PG","Maharashtra",0.0723495516911708
"132","MAHARASHTRA",2001,96752500,1037,1037,"Both","Forensic",10,522,21,"PG","Maharashtra",0.103356502415958
"133","MAHARASHTRA",2001,96752500,1092,1092,"Private","Haematology",0,522,21,"PG","Maharashtra",0
"134","MAHARASHTRA",2001,96752500,1116,1116,"Public","Haematology",2,522,21,"PG","Maharashtra",0.0206713004831916
"135","MAHARASHTRA",2001,96752500,1192,1192,"Both","Haematology",2,522,21,"PG","Maharashtra",0.0206713004831916
"136","MAHARASHTRA",2001,96752500,1247,1247,"Private","Gynaecology",17,522,21,"PG","Maharashtra",0.175706054107129
"137","MAHARASHTRA",2001,96752500,1271,1271,"Public","Gynaecology",140,522,21,"PG","Maharashtra",1.44699103382342
"138","MAHARASHTRA",2001,96752500,1347,1347,"Both","Gynaecology",157,522,21,"PG","Maharashtra",1.62269708793054
"139","MAHARASHTRA",2001,96752500,1402,1402,"Private","Endocrinology",0,522,21,"PG","Maharashtra",0
"140","MAHARASHTRA",2001,96752500,1426,1426,"Public","Endocrinology",2,522,21,"PG","Maharashtra",0.0206713004831916
"141","MAHARASHTRA",2001,96752500,1502,1502,"Both","Endocrinology",2,522,21,"PG","Maharashtra",0.0206713004831916
"142","MAHARASHTRA",2001,96752500,1557,1557,"Private","Ophthalmology",4,522,21,"PG","Maharashtra",0.0413426009663833
"143","MAHARASHTRA",2001,96752500,1581,1581,"Public","Ophthalmology",61,522,21,"PG","Maharashtra",0.630474664737345
"144","MAHARASHTRA",2001,96752500,1657,1657,"Both","Ophthalmology",65,522,21,"PG","Maharashtra",0.671817265703729
"145","MAHARASHTRA",2001,96752500,1712,1712,"Private","Pulmonology",0,522,21,"PG","Maharashtra",0
"146","MAHARASHTRA",2001,96752500,1736,1736,"Public","Pulmonology",18,522,21,"PG","Maharashtra",0.186041704348725
"147","MAHARASHTRA",2001,96752500,1812,1812,"Both","Pulmonology",18,522,21,"PG","Maharashtra",0.186041704348725
"148","MAHARASHTRA",2001,96752500,1867,1867,"Private","Physiology",8,522,21,"PG","Maharashtra",0.0826852019327666
"149","MAHARASHTRA",2001,96752500,1891,1891,"Public","Physiology",36,522,21,"PG","Maharashtra",0.37208340869745
"150","MAHARASHTRA",2001,96752500,1967,1967,"Both","Physiology",44,522,21,"PG","Maharashtra",0.454768610630216
"151","MAHARASHTRA",2001,96752500,2022,2022,"Private","Thoracic",0,522,21,"PG","Maharashtra",0
"152","MAHARASHTRA",2001,96752500,2046,2046,"Public","Thoracic",13,522,21,"PG","Maharashtra",0.134363453140746
"153","MAHARASHTRA",2001,96752500,2122,2122,"Both","Thoracic",13,522,21,"PG","Maharashtra",0.134363453140746
"154","MAHARASHTRA",2001,96752500,2177,2177,"Private","Pharmacology",6,522,21,"PG","Maharashtra",0.0620139014495749
"155","MAHARASHTRA",2001,96752500,2201,2201,"Public","Pharmacology",33,522,21,"PG","Maharashtra",0.341076457972662
"156","MAHARASHTRA",2001,96752500,2277,2277,"Both","Pharmacology",39,522,21,"PG","Maharashtra",0.403090359422237
"157","MAHARASHTRA",2001,96752500,2332,2332,"Private","Dermatology",2,522,21,"PG","Maharashtra",0.0206713004831916
"158","MAHARASHTRA",2001,96752500,2356,2356,"Public","Dermatology",24,522,21,"PG","Maharashtra",0.2480556057983
"159","MAHARASHTRA",2001,96752500,2432,2432,"Both","Dermatology",26,522,21,"PG","Maharashtra",0.268726906281491
"160","MAHARASHTRA",2001,96752500,2487,2487,"Private","Radiology",10,522,21,"PG","Maharashtra",0.103356502415958
"161","MAHARASHTRA",2001,96752500,2511,2511,"Public","Radiology",79,522,21,"PG","Maharashtra",0.81651636908607
"162","MAHARASHTRA",2001,96752500,2587,2587,"Both","Radiology",89,522,21,"PG","Maharashtra",0.919872871502028
"163","MAHARASHTRA",2001,96752500,2642,2642,"Private","Microbiology",11,522,21,"PG","Maharashtra",0.113692152657554
"164","MAHARASHTRA",2001,96752500,2666,2666,"Public","Microbiology",35,522,21,"PG","Maharashtra",0.361747758455854
"165","MAHARASHTRA",2001,96752500,2742,2742,"Both","Microbiology",46,522,21,"PG","Maharashtra",0.475439911113408
"166","MAHARASHTRA",2001,96752500,2797,2797,"Private","Orthopaedics",19,522,21,"PG","Maharashtra",0.196377354590321
"167","MAHARASHTRA",2001,96752500,2821,2821,"Public","Orthopaedics",36,522,21,"PG","Maharashtra",0.37208340869745
"168","MAHARASHTRA",2001,96752500,2897,2897,"Both","Orthopaedics",55,522,21,"PG","Maharashtra",0.56846076328777
"169","MAHARASHTRA",2001,96752500,2952,2952,"Private","Anatomy",8,522,21,"PG","Maharashtra",0.0826852019327666
"170","MAHARASHTRA",2001,96752500,2976,2976,"Public","Anatomy",30,522,21,"PG","Maharashtra",0.310069507247875
"171","MAHARASHTRA",2001,96752500,3052,3052,"Both","Anatomy",38,522,21,"PG","Maharashtra",0.392754709180641
"172","MAHARASHTRA",2001,96752500,3107,3107,"Private","General",39,522,21,"PG","Maharashtra",0.403090359422237
"173","MAHARASHTRA",2001,96752500,3131,3131,"Public","General",260,522,21,"PG","Maharashtra",2.68726906281491
"174","MAHARASHTRA",2001,96752500,3207,3207,"Both","General",299,522,21,"PG","Maharashtra",3.09035942223715
"175","MAHARASHTRA",2001,96752500,3262,3262,"Private","Paediatrics",1,522,21,"PG","Maharashtra",0.0103356502415958
"176","MAHARASHTRA",2001,96752500,3286,3286,"Public","Paediatrics",71,522,21,"PG","Maharashtra",0.733831167153303
"177","MAHARASHTRA",2001,96752500,3362,3362,"Both","Paediatrics",72,522,21,"PG","Maharashtra",0.744166817394899
"178","MAHARASHTRA",2001,96752500,3417,3417,"Private","Urology",0,522,21,"PG","Maharashtra",0
"179","MAHARASHTRA",2001,96752500,3441,3441,"Public","Urology",9,522,21,"PG","Maharashtra",0.0930208521743624
"180","MAHARASHTRA",2001,96752500,3517,3517,"Both","Urology",9,522,21,"PG","Maharashtra",0.0930208521743624
"181","MAHARASHTRA",2001,96752500,3572,3572,"Private","Nephrology",0,522,21,"PG","Maharashtra",0
"182","MAHARASHTRA",2001,96752500,3596,3596,"Public","Nephrology",3,522,21,"PG","Maharashtra",0.0310069507247875
"183","MAHARASHTRA",2001,96752500,3672,3672,"Both","Nephrology",3,522,21,"PG","Maharashtra",0.0310069507247875
"184","MAHARASHTRA",2001,96752500,3727,3727,"Private","Gastroenterology",0,522,21,"PG","Maharashtra",0
"185","MAHARASHTRA",2001,96752500,3751,3751,"Public","Gastroenterology",4,522,21,"PG","Maharashtra",0.0413426009663833
"186","MAHARASHTRA",2001,96752500,3827,3827,"Both","Gastroenterology",4,522,21,"PG","Maharashtra",0.0413426009663833
"187","MAHARASHTRA",2001,96752500,3882,3882,"Private","Rehabilitation",0,522,21,"PG","Maharashtra",0
"188","MAHARASHTRA",2001,96752500,3906,3906,"Public","Rehabilitation",0,522,21,"PG","Maharashtra",0
"189","MAHARASHTRA",2001,96752500,3982,3982,"Both","Rehabilitation",0,522,21,"PG","Maharashtra",0
"190","MAHARASHTRA",2001,96752500,4037,4037,"Private","Pathology",9,522,21,"PG","Maharashtra",0.0930208521743624
"191","MAHARASHTRA",2001,96752500,4061,4061,"Public","Pathology",104,522,21,"PG","Maharashtra",1.07490762512597
"192","MAHARASHTRA",2001,96752500,4137,4137,"Both","Pathology",113,522,21,"PG","Maharashtra",1.16792847730033
"193","MAHARASHTRA",2001,96752500,4192,4192,"Private","PlasticSurgery",0,522,21,"PG","Maharashtra",0
"194","MAHARASHTRA",2001,96752500,4216,4216,"Public","PlasticSurgery",7,522,21,"PG","Maharashtra",0.0723495516911708
"195","MAHARASHTRA",2001,96752500,4292,4292,"Both","PlasticSurgery",7,522,21,"PG","Maharashtra",0.0723495516911708
"196","MAHARASHTRA",2001,96752500,4347,4347,"Private","ENT",3,522,21,"PG","Maharashtra",0.0310069507247875
"197","MAHARASHTRA",2001,96752500,4371,4371,"Public","ENT",32,522,21,"PG","Maharashtra",0.330740807731066
"198","MAHARASHTRA",2001,96752500,4447,4447,"Both","ENT",35,522,21,"PG","Maharashtra",0.361747758455854
"199","MAHARASHTRA",2001,96752500,4502,4502,"Private","Geriatrics",0,522,21,"PG","Maharashtra",0
"200","MAHARASHTRA",2001,96752500,4526,4526,"Public","Geriatrics",0,522,21,"PG","Maharashtra",0
"201","MAHARASHTRA",2001,96752500,4602,4602,"Both","Geriatrics",0,522,21,"PG","Maharashtra",0
"202","MAHARASHTRA",2001,96752500,4657,4657,"Private","Immunology",0,522,21,"PG","Maharashtra",0
"203","MAHARASHTRA",2001,96752500,4681,4681,"Public","Immunology",0,522,21,"PG","Maharashtra",0
"204","MAHARASHTRA",2001,96752500,4757,4757,"Both","Immunology",0,522,21,"PG","Maharashtra",0
"205","MAHARASHTRA",2001,96752500,4812,4812,"Private","Admin",0,522,21,"PG","Maharashtra",0
"206","MAHARASHTRA",2001,96752500,4836,4836,"Public","Admin",10,522,21,"PG","Maharashtra",0.103356502415958
"207","MAHARASHTRA",2001,96752500,4912,4912,"Both","Admin",10,522,21,"PG","Maharashtra",0.103356502415958
"208","MAHARASHTRA",2001,96752500,4967,4967,"Private","PublicHealth",0,522,21,"PG","Maharashtra",0
"209","MAHARASHTRA",2001,96752500,4991,4991,"Public","PublicHealth",25,522,21,"PG","Maharashtra",0.258391256039896
"210","MAHARASHTRA",2001,96752500,5067,5067,"Both","PublicHealth",25,522,21,"PG","Maharashtra",0.258391256039896
"211","MAHARASHTRA",2001,96752500,5122,5122,"Private","Sports",0,522,21,"PG","Maharashtra",0
"212","MAHARASHTRA",2001,96752500,5146,5146,"Public","Sports",0,522,21,"PG","Maharashtra",0
"213","MAHARASHTRA",2001,96752500,5222,5222,"Both","Sports",0,522,21,"PG","Maharashtra",0
"214","MAHARASHTRA",2001,96752500,5277,5277,"Private","Education",0,522,21,"PG","Maharashtra",0
"215","MAHARASHTRA",2001,96752500,5301,5301,"Public","Education",0,522,21,"PG","Maharashtra",0
"216","MAHARASHTRA",2001,96752500,5377,5377,"Both","Education",0,522,21,"PG","Maharashtra",0
"217","MAHARASHTRA",2001,96752500,5432,5432,"Private","Genetics",0,522,21,"PG","Maharashtra",0
"218","MAHARASHTRA",2001,96752500,5456,5456,"Public","Genetics",0,522,21,"PG","Maharashtra",0
"219","MAHARASHTRA",2001,96752500,5532,5532,"Both","Genetics",0,522,21,"PG","Maharashtra",0
"220","MAHARASHTRA",2001,96752500,5587,5587,"Private","Hepatology",0,522,21,"PG","Maharashtra",0
"221","MAHARASHTRA",2001,96752500,5611,5611,"Public","Hepatology",0,522,21,"PG","Maharashtra",0
"222","MAHARASHTRA",2001,96752500,5687,5687,"Both","Hepatology",0,522,21,"PG","Maharashtra",0
"223","BIHAR",2001,82879910,18,18,"Public","All",257,209,5,"PG","Bihar",3.10087209312848
"224","BIHAR",2001,82879910,95,95,"Both","All",257,209,5,"PG","Bihar",3.10087209312848
"225","BIHAR",2001,82879910,173,173,"Public","Anaesthesia",21,209,5,"PG","Bihar",0.253378653524117
"226","BIHAR",2001,82879910,250,250,"Both","Anaesthesia",21,209,5,"PG","Bihar",0.253378653524117
"227","BIHAR",2001,82879910,328,328,"Public","Cardiology",0,209,5,"PG","Bihar",0
"228","BIHAR",2001,82879910,405,405,"Both","Cardiology",0,209,5,"PG","Bihar",0
"229","BIHAR",2001,82879910,483,483,"Public","Neurology",0,209,5,"PG","Bihar",0
"230","BIHAR",2001,82879910,560,560,"Both","Neurology",0,209,5,"PG","Bihar",0
"231","BIHAR",2001,82879910,638,638,"Public","Oncology",0,209,5,"PG","Bihar",0
