"","X","State","Management","Year","Specialisation","Seats","censuscode","ST_CEN_CD","UG_PG","st_new"
"28",28,"KARNATAKA","Public",2001,"All",618,556,17,"PG","Karnataka"
"29",29,"KERALA","Public",2001,"All",303,598,18,"PG","Kerala"
"30",30,"MADHYA PRADESH","Public",2001,"All",423,465,20,"PG","Madhya Pradesh"
"31",31,"MAHARASHTRA","Public",2001,"All",1425,522,21,"PG","Maharashtra"
"32",32,"MANIPUR","Public",2001,"All",104,275,22,"PG","Manipur"
"33",33,"MEGHALAYA","Public",2001,"All",2,294,23,"PG","Meghalaya"
"34",34,"ODISHA","Public",2001,"All",78,384,26,"PG","Odisha"
"35",35,"PUDUCHERRY","Public",2001,"All",107,636,27,"PG","Puducherry"
"36",36,"PUNJAB","Public",2001,"All",241,49,28,"PG","Punjab"
"37",37,"RAJASTHAN","Public",2001,"All",563,119,29,"PG","Rajasthan"
"38",38,"TAMIL NADU","Public",2001,"All",907,616,31,"PG","Tamil Nadu"
"39",39,"UTTAR PRADESH","Public",2001,"All",634,146,34,"PG","Uttar Pradesh"
"40",40,"UTTARAKHAND","Public",2001,"All",0,64,35,"PG","Uttarakhand"
"41",41,"WEST BENGAL","Public",2001,"All",488,339,36,"PG","West Bengal"
"42",42,"ANDHRA PRADESH","Private",2018,"All",940,553,2,"PG","Andhra Pradesh"
"43",43,"BIHAR","Private",2018,"All",186,209,5,"PG","Bihar"
"44",44,"CHHATTISGARH","Private",2018,"All",0,414,7,"PG","Chhattisgarh"
"45",45,"NCT OF DELHI","Private",2018,"All",9,95,10,"PG","NCT of Delhi"
"46",46,"GUJARAT","Private",2018,"All",402,474,12,"PG","Gujarat"
"47",47,"HARYANA","Private",2018,"All",260,70,13,"PG","Haryana"
"48",48,"HIMACHAL PRADESH","Private",2018,"All",3,30,14,"PG","Himachal Pradesh"
"49",49,"JAMMU & KASHMIR","Private",2018,"All",18,14,15,"PG","Jammu & Kashmir"
"50",50,"KARNATAKA","Private",2018,"All",2947,556,17,"PG","Karnataka"
"51",51,"KERALA","Private",2018,"All",512,598,18,"PG","Kerala"
"52",52,"MADHYA PRADESH","Private",2018,"All",361,465,20,"PG","Madhya Pradesh"
"53",53,"MAHARASHTRA","Private",2018,"All",1543,522,21,"PG","Maharashtra"
"54",54,"ODISHA","Private",2018,"All",260,384,26,"PG","Odisha"
"55",55,"PUDUCHERRY","Private",2018,"All",396,636,27,"PG","Puducherry"
"56",56,"PUNJAB","Private",2018,"All",313,49,28,"PG","Punjab"
"57",57,"RAJASTHAN","Private",2018,"All",255,119,29,"PG","Rajasthan"
"58",58,"SIKKIM","Private",2018,"All",22,244,30,"PG","Sikkim"
"59",59,"TAMIL NADU","Private",2018,"All",1190,616,31,"PG","Tamil Nadu"
"60",60,"TELANGANA","Private",2018,"All",743,532,32,"PG","Telangana"
"61",61,"TRIPURA","Private",2018,"All",5,291,33,"PG","Tripura"
"62",62,"UTTAR PRADESH","Private",2018,"All",701,146,34,"PG","Uttar Pradesh"
"63",63,"UTTARAKHAND","Private",2018,"All",177,64,35,"PG","Uttarakhand"
"64",64,"WEST BENGAL","Private",2018,"All",115,339,36,"PG","West Bengal"
"65",65,"ANDAMAN & NICOBAR ISLAND","Public",2018,"All",0,638,1,"PG","Andaman & Nicobar Island"
"66",66,"ANDHRA PRADESH","Public",2018,"All",929,553,2,"PG","Andhra Pradesh"
"67",67,"ASSAM","Public",2018,"All",527,324,4,"PG","Assam"
"68",68,"BIHAR","Public",2018,"All",502,209,5,"PG","Bihar"
"69",69,"CHANDIGARH","Public",2018,"All",552,55,6,"PG","Chandigarh"
"70",70,"CHHATTISGARH","Public",2018,"All",121,414,7,"PG","Chhattisgarh"
"71",71,"NCT OF DELHI","Public",2018,"All",2566,95,10,"PG","NCT of Delhi"
"72",72,"GOA","Public",2018,"All",122,585,11,"PG","Goa"
"73",73,"GUJARAT","Public",2018,"All",1652,474,12,"PG","Gujarat"
"74",74,"HARYANA","Public",2018,"All",314,70,13,"PG","Haryana"
"75",75,"HIMACHAL PRADESH","Public",2018,"All",223,30,14,"PG","Himachal Pradesh"
"76",76,"JAMMU & KASHMIR","Public",2018,"All",453,14,15,"PG","Jammu & Kashmir"
"77",77,"JHARKHAND","Public",2018,"All",215,355,16,"PG","Jharkhand"
"78",78,"KARNATAKA","Public",2018,"All",1229,556,17,"PG","Karnataka"
"79",79,"KERALA","Public",2018,"All",941,598,18,"PG","Kerala"
"80",80,"MADHYA PRADESH","Public",2018,"All",539,465,20,"PG","Madhya Pradesh"
"81",81,"MAHARASHTRA","Public",2018,"All",2386,522,21,"PG","Maharashtra"
"82",82,"MANIPUR","Public",2018,"All",207,275,22,"PG","Manipur"
"83",83,"MEGHALAYA","Public",2018,"All",22,294,23,"PG","Meghalaya"
"84",84,"ODISHA","Public",2018,"All",503,384,26,"PG","Odisha"
"85",85,"PUDUCHERRY","Public",2018,"All",317,636,27,"PG","Puducherry"
"86",86,"PUNJAB","Public",2018,"All",395,49,28,"PG","Punjab"
"87",87,"RAJASTHAN","Public",2018,"All",1225,119,29,"PG","Rajasthan"
"88",88,"TAMIL NADU","Public",2018,"All",1909,616,31,"PG","Tamil Nadu"
"89",89,"TELANGANA","Public",2018,"All",891,532,32,"PG","Telangana"
"90",90,"TRIPURA","Public",2018,"All",25,291,33,"PG","Tripura"
"91",91,"UTTAR PRADESH","Public",2018,"All",1424,146,34,"PG","Uttar Pradesh"
"92",92,"UTTARAKHAND","Public",2018,"All",74,64,35,"PG","Uttarakhand"
"93",93,"WEST BENGAL","Public",2018,"All",1375,339,36,"PG","West Bengal"
"94",94,"ASSAM","Both",2001,"All",294,324,4,"PG","Assam"
"95",95,"BIHAR","Both",2001,"All",257,209,5,"PG","Bihar"
"96",96,"CHANDIGARH","Both",2001,"All",30,55,6,"PG","Chandigarh"
"97",97,"CHHATTISGARH","Both",2001,"All",54,414,7,"PG","Chhattisgarh"
"98",98,"GOA","Both",2001,"All",49,585,11,"PG","Goa"
"99",99,"GUJARAT","Both",2001,"All",333,474,12,"PG","Gujarat"
"100",100,"HARYANA","Both",2001,"All",203,70,13,"PG","Haryana"
"101",101,"HIMACHAL PRADESH","Both",2001,"All",12,30,14,"PG","Himachal Pradesh"
"102",102,"JAMMU & KASHMIR","Both",2001,"All",155,14,15,"PG","Jammu & Kashmir"
"103",103,"JHARKHAND","Both",2001,"All",66,355,16,"PG","Jharkhand"
"104",104,"KARNATAKA","Both",2001,"All",1572,556,17,"PG","Karnataka"
"105",105,"KERALA","Both",2001,"All",307,598,18,"PG","Kerala"
"106",106,"MADHYA PRADESH","Both",2001,"All",524,465,20,"PG","Madhya Pradesh"
"107",107,"MAHARASHTRA","Both",2001,"All",1594,522,21,"PG","Maharashtra"
"108",108,"MANIPUR","Both",2001,"All",104,275,22,"PG","Manipur"
"109",109,"MEGHALAYA","Both",2001,"All",2,294,23,"PG","Meghalaya"
"110",110,"NCT OF DELHI","Both",2001,"All",1609,95,10,"PG","NCT of Delhi"
"111",111,"ODISHA","Both",2001,"All",78,384,26,"PG","Odisha"
"112",112,"PUDUCHERRY","Both",2001,"All",107,636,27,"PG","Puducherry"
"113",113,"PUNJAB","Both",2001,"All",371,49,28,"PG","Punjab"
"114",114,"RAJASTHAN","Both",2001,"All",602,119,29,"PG","Rajasthan"
"115",115,"SIKKIM","Both",2001,"All",0,244,30,"PG","Sikkim"
"116",116,"TAMIL NADU","Both",2001,"All",1162,616,31,"PG","Tamil Nadu"
"117",117,"UTTAR PRADESH","Both",2001,"All",636,146,34,"PG","Uttar Pradesh"
"118",118,"UTTARAKHAND","Both",2001,"All",70,64,35,"PG","Uttarakhand"
"119",119,"WEST BENGAL","Both",2001,"All",507,339,36,"PG","West Bengal"
"120",120,"ANDAMAN & NICOBAR ISLAND","Both",2018,"All",0,638,1,"PG","Andaman & Nicobar Island"
"121",121,"ANDHRA PRADESH","Both",2018,"All",1869,553,2,"PG","Andhra Pradesh"
"122",122,"ASSAM","Both",2018,"All",527,324,4,"PG","Assam"
"123",123,"BIHAR","Both",2018,"All",688,209,5,"PG","Bihar"
"124",124,"CHANDIGARH","Both",2018,"All",552,55,6,"PG","Chandigarh"
"125",125,"CHHATTISGARH","Both",2018,"All",121,414,7,"PG","Chhattisgarh"
"126",126,"GOA","Both",2018,"All",122,585,11,"PG","Goa"
"127",127,"GUJARAT","Both",2018,"All",2054,474,12,"PG","Gujarat"
"128",128,"HARYANA","Both",2018,"All",574,70,13,"PG","Haryana"
"129",129,"HIMACHAL PRADESH","Both",2018,"All",226,30,14,"PG","Himachal Pradesh"
"130",130,"JAMMU & KASHMIR","Both",2018,"All",471,14,15,"PG","Jammu & Kashmir"
"131",131,"JHARKHAND","Both",2018,"All",215,355,16,"PG","Jharkhand"
"132",132,"KARNATAKA","Both",2018,"All",4176,556,17,"PG","Karnataka"
"133",133,"KERALA","Both",2018,"All",1453,598,18,"PG","Kerala"
"134",134,"MADHYA PRADESH","Both",2018,"All",900,465,20,"PG","Madhya Pradesh"
"135",135,"MAHARASHTRA","Both",2018,"All",3929,522,21,"PG","Maharashtra"
"136",136,"MANIPUR","Both",2018,"All",207,275,22,"PG","Manipur"
"137",137,"MEGHALAYA","Both",2018,"All",22,294,23,"PG","Meghalaya"
"138",138,"NCT OF DELHI","Both",2018,"All",2575,95,10,"PG","NCT of Delhi"
"139",139,"ODISHA","Both",2018,"All",763,384,26,"PG","Odisha"
"140",140,"PUDUCHERRY","Both",2018,"All",713,636,27,"PG","Puducherry"
"141",141,"PUNJAB","Both",2018,"All",708,49,28,"PG","Punjab"
"142",142,"RAJASTHAN","Both",2018,"All",1480,119,29,"PG","Rajasthan"
"143",143,"SIKKIM","Both",2018,"All",22,244,30,"PG","Sikkim"
"144",144,"TAMIL NADU","Both",2018,"All",3099,616,31,"PG","Tamil Nadu"
"145",145,"TELANGANA","Both",2018,"All",1634,532,32,"PG","Telangana"
"146",146,"TRIPURA","Both",2018,"All",30,291,33,"PG","Tripura"
"147",147,"UTTAR PRADESH","Both",2018,"All",2125,146,34,"PG","Uttar Pradesh"
"148",148,"UTTARAKHAND","Both",2018,"All",251,64,35,"PG","Uttarakhand"
"149",149,"WEST BENGAL","Both",2018,"All",1490,339,36,"PG","West Bengal"
"150",150,"ANDHRA PRADESH","Private",2001,"All",9,553,2,"PG","Andhra Pradesh"
"151",151,"TELANGANA","Private",2001,"All",9,NA,NA,"PG","Telangana"
"152",152,"ANDHRA PRADESH","Public",2001,"All",907,553,2,"PG","Andhra Pradesh"
"153",153,"TELANGANA","Public",2001,"All",907,NA,NA,"PG","Telangana"
"154",154,"ANDHRA PRADESH","Both",2001,"All",916,553,2,"PG","Andhra Pradesh"
"155",155,"TELANGANA","Both",2001,"All",916,NA,NA,"PG","Telangana"
"156",156,"GUJARAT","Private",2001,"Anaesthesia",3,474,12,"PG","Gujarat"
"157",157,"HARYANA","Private",2001,"Anaesthesia",0,70,13,"PG","Haryana"
"158",158,"JAMMU & KASHMIR","Private",2001,"Anaesthesia",0,14,15,"PG","Jammu & Kashmir"
"159",159,"KARNATAKA","Private",2001,"Anaesthesia",94,556,17,"PG","Karnataka"
"160",160,"KERALA","Private",2001,"Anaesthesia",0,598,18,"PG","Kerala"
"161",161,"MADHYA PRADESH","Private",2001,"Anaesthesia",3,465,20,"PG","Madhya Pradesh"
"162",162,"MAHARASHTRA","Private",2001,"Anaesthesia",8,522,21,"PG","Maharashtra"
"163",163,"ODISHA","Private",2001,"Anaesthesia",0,384,26,"PG","Odisha"
"164",164,"PUDUCHERRY","Private",2001,"Anaesthesia",0,636,27,"PG","Puducherry"
"165",165,"PUNJAB","Private",2001,"Anaesthesia",25,49,28,"PG","Punjab"
"166",166,"RAJASTHAN","Private",2001,"Anaesthesia",0,119,29,"PG","Rajasthan"
"167",167,"SIKKIM","Private",2001,"Anaesthesia",0,244,30,"PG","Sikkim"
"168",168,"TAMIL NADU","Private",2001,"Anaesthesia",30,616,31,"PG","Tamil Nadu"
"169",169,"UTTAR PRADESH","Private",2001,"Anaesthesia",0,146,34,"PG","Uttar Pradesh"
"170",170,"UTTARAKHAND","Private",2001,"Anaesthesia",5,64,35,"PG","Uttarakhand"
"171",171,"WEST BENGAL","Private",2001,"Anaesthesia",0,339,36,"PG","West Bengal"
"172",172,"ASSAM","Public",2001,"Anaesthesia",18,324,4,"PG","Assam"
"173",173,"BIHAR","Public",2001,"Anaesthesia",21,209,5,"PG","Bihar"
"174",174,"CHANDIGARH","Public",2001,"Anaesthesia",5,55,6,"PG","Chandigarh"
"175",175,"CHHATTISGARH","Public",2001,"Anaesthesia",0,414,7,"PG","Chhattisgarh"
"176",176,"NCT OF DELHI","Public",2001,"Anaesthesia",126,95,10,"PG","NCT of Delhi"
"177",177,"GOA","Public",2001,"Anaesthesia",3,585,11,"PG","Goa"
"178",178,"GUJARAT","Public",2001,"Anaesthesia",18,474,12,"PG","Gujarat"
"179",179,"HARYANA","Public",2001,"Anaesthesia",18,70,13,"PG","Haryana"
"180",180,"HIMACHAL PRADESH","Public",2001,"Anaesthesia",0,30,14,"PG","Himachal Pradesh"
"181",181,"JAMMU & KASHMIR","Public",2001,"Anaesthesia",26,14,15,"PG","Jammu & Kashmir"
"182",182,"JHARKHAND","Public",2001,"Anaesthesia",4,355,16,"PG","Jharkhand"
"183",183,"KARNATAKA","Public",2001,"Anaesthesia",49,556,17,"PG","Karnataka"
"184",184,"KERALA","Public",2001,"Anaesthesia",27,598,18,"PG","Kerala"
"185",185,"MADHYA PRADESH","Public",2001,"Anaesthesia",34,465,20,"PG","Madhya Pradesh"
"186",186,"MAHARASHTRA","Public",2001,"Anaesthesia",178,522,21,"PG","Maharashtra"
"187",187,"MANIPUR","Public",2001,"Anaesthesia",10,275,22,"PG","Manipur"
"188",188,"MEGHALAYA","Public",2001,"Anaesthesia",2,294,23,"PG","Meghalaya"
"189",189,"ODISHA","Public",2001,"Anaesthesia",15,384,26,"PG","Odisha"
"190",190,"PUDUCHERRY","Public",2001,"Anaesthesia",0,636,27,"PG","Puducherry"
"191",191,"PUNJAB","Public",2001,"Anaesthesia",25,49,28,"PG","Punjab"
"192",192,"RAJASTHAN","Public",2001,"Anaesthesia",62,119,29,"PG","Rajasthan"
"193",193,"TAMIL NADU","Public",2001,"Anaesthesia",88,616,31,"PG","Tamil Nadu"
"194",194,"UTTAR PRADESH","Public",2001,"Anaesthesia",50,146,34,"PG","Uttar Pradesh"
"195",195,"UTTARAKHAND","Public",2001,"Anaesthesia",0,64,35,"PG","Uttarakhand"
"196",196,"WEST BENGAL","Public",2001,"Anaesthesia",22,339,36,"PG","West Bengal"
"197",197,"ANDHRA PRADESH","Private",2018,"Anaesthesia",83,553,2,"PG","Andhra Pradesh"
"198",198,"BIHAR","Private",2018,"Anaesthesia",18,209,5,"PG","Bihar"
"199",199,"CHHATTISGARH","Private",2018,"Anaesthesia",0,414,7,"PG","Chhattisgarh"
"200",200,"NCT OF DELHI","Private",2018,"Anaesthesia",0,95,10,"PG","NCT of Delhi"
"201",201,"GUJARAT","Private",2018,"Anaesthesia",43,474,12,"PG","Gujarat"
"202",202,"HARYANA","Private",2018,"Anaesthesia",24,70,13,"PG","Haryana"
"203",203,"HIMACHAL PRADESH","Private",2018,"Anaesthesia",0,30,14,"PG","Himachal Pradesh"
"204",204,"JAMMU & KASHMIR","Private",2018,"Anaesthesia",4,14,15,"PG","Jammu & Kashmir"
"205",205,"KARNATAKA","Private",2018,"Anaesthesia",241,556,17,"PG","Karnataka"
"206",206,"KERALA","Private",2018,"Anaesthesia",55,598,18,"PG","Kerala"
"207",207,"MADHYA PRADESH","Private",2018,"Anaesthesia",27,465,20,"PG","Madhya Pradesh"
"208",208,"MAHARASHTRA","Private",2018,"Anaesthesia",134,522,21,"PG","Maharashtra"
"209",209,"ODISHA","Private",2018,"Anaesthesia",24,384,26,"PG","Odisha"
"210",210,"PUDUCHERRY","Private",2018,"Anaesthesia",28,636,27,"PG","Puducherry"
"211",211,"PUNJAB","Private",2018,"Anaesthesia",33,49,28,"PG","Punjab"
"212",212,"RAJASTHAN","Private",2018,"Anaesthesia",29,119,29,"PG","Rajasthan"
"213",213,"SIKKIM","Private",2018,"Anaesthesia",0,244,30,"PG","Sikkim"
"214",214,"TAMIL NADU","Private",2018,"Anaesthesia",74,616,31,"PG","Tamil Nadu"
"215",215,"TELANGANA","Private",2018,"Anaesthesia",56,532,32,"PG","Telangana"
"216",216,"TRIPURA","Private",2018,"Anaesthesia",0,291,33,"PG","Tripura"
"217",217,"UTTAR PRADESH","Private",2018,"Anaesthesia",57,146,34,"PG","Uttar Pradesh"
"218",218,"UTTARAKHAND","Private",2018,"Anaesthesia",19,64,35,"PG","Uttarakhand"
"219",219,"WEST BENGAL","Private",2018,"Anaesthesia",6,339,36,"PG","West Bengal"
"220",220,"ANDAMAN & NICOBAR ISLAND","Public",2018,"Anaesthesia",0,638,1,"PG","Andaman & Nicobar Island"
"221",221,"ANDHRA PRADESH","Public",2018,"Anaesthesia",91,553,2,"PG","Andhra Pradesh"
"222",222,"ASSAM","Public",2018,"Anaesthesia",40,324,4,"PG","Assam"
"223",223,"BIHAR","Public",2018,"Anaesthesia",39,209,5,"PG","Bihar"
"224",224,"CHANDIGARH","Public",2018,"Anaesthesia",57,55,6,"PG","Chandigarh"
"225",225,"CHHATTISGARH","Public",2018,"Anaesthesia",10,414,7,"PG","Chhattisgarh"
"226",226,"NCT OF DELHI","Public",2018,"Anaesthesia",293,95,10,"PG","NCT of Delhi"
"227",227,"GOA","Public",2018,"Anaesthesia",10,585,11,"PG","Goa"
"228",228,"GUJARAT","Public",2018,"Anaesthesia",177,474,12,"PG","Gujarat"
"229",229,"HARYANA","Public",2018,"Anaesthesia",44,70,13,"PG","Haryana"
"230",230,"HIMACHAL PRADESH","Public",2018,"Anaesthesia",33,30,14,"PG","Himachal Pradesh"
"231",231,"JAMMU & KASHMIR","Public",2018,"Anaesthesia",59,14,15,"PG","Jammu & Kashmir"
"232",232,"JHARKHAND","Public",2018,"Anaesthesia",6,355,16,"PG","Jharkhand"
"233",233,"KARNATAKA","Public",2018,"Anaesthesia",109,556,17,"PG","Karnataka"
"234",234,"KERALA","Public",2018,"Anaesthesia",72,598,18,"PG","Kerala"
"235",235,"MADHYA PRADESH","Public",2018,"Anaesthesia",54,465,20,"PG","Madhya Pradesh"
"236",236,"MAHARASHTRA","Public",2018,"Anaesthesia",264,522,21,"PG","Maharashtra"
"237",237,"MANIPUR","Public",2018,"Anaesthesia",20,275,22,"PG","Manipur"
"238",238,"MEGHALAYA","Public",2018,"Anaesthesia",4,294,23,"PG","Meghalaya"
"239",239,"ODISHA","Public",2018,"Anaesthesia",43,384,26,"PG","Odisha"
"240",240,"PUDUCHERRY","Public",2018,"Anaesthesia",21,636,27,"PG","Puducherry"
"241",241,"PUNJAB","Public",2018,"Anaesthesia",40,49,28,"PG","Punjab"
"242",242,"RAJASTHAN","Public",2018,"Anaesthesia",178,119,29,"PG","Rajasthan"
"243",243,"TAMIL NADU","Public",2018,"Anaesthesia",187,616,31,"PG","Tamil Nadu"
"244",244,"TELANGANA","Public",2018,"Anaesthesia",81,532,32,"PG","Telangana"
"245",245,"TRIPURA","Public",2018,"Anaesthesia",2,291,33,"PG","Tripura"
"246",246,"UTTAR PRADESH","Public",2018,"Anaesthesia",154,146,34,"PG","Uttar Pradesh"
"247",247,"UTTARAKHAND","Public",2018,"Anaesthesia",9,64,35,"PG","Uttarakhand"
"248",248,"WEST BENGAL","Public",2018,"Anaesthesia",128,339,36,"PG","West Bengal"
"249",249,"ASSAM","Both",2001,"Anaesthesia",18,324,4,"PG","Assam"
"250",250,"BIHAR","Both",2001,"Anaesthesia",21,209,5,"PG","Bihar"
"251",251,"CHANDIGARH","Both",2001,"Anaesthesia",5,55,6,"PG","Chandigarh"
"252",252,"CHHATTISGARH","Both",2001,"Anaesthesia",0,414,7,"PG","Chhattisgarh"
"253",253,"GOA","Both",2001,"Anaesthesia",3,585,11,"PG","Goa"
"254",254,"GUJARAT","Both",2001,"Anaesthesia",21,474,12,"PG","Gujarat"
"255",255,"HARYANA","Both",2001,"Anaesthesia",18,70,13,"PG","Haryana"
"256",256,"HIMACHAL PRADESH","Both",2001,"Anaesthesia",0,30,14,"PG","Himachal Pradesh"
"257",257,"JAMMU & KASHMIR","Both",2001,"Anaesthesia",26,14,15,"PG","Jammu & Kashmir"
"258",258,"JHARKHAND","Both",2001,"Anaesthesia",4,355,16,"PG","Jharkhand"
"259",259,"KARNATAKA","Both",2001,"Anaesthesia",143,556,17,"PG","Karnataka"
"260",260,"KERALA","Both",2001,"Anaesthesia",27,598,18,"PG","Kerala"
"261",261,"MADHYA PRADESH","Both",2001,"Anaesthesia",37,465,20,"PG","Madhya Pradesh"
"262",262,"MAHARASHTRA","Both",2001,"Anaesthesia",186,522,21,"PG","Maharashtra"
"263",263,"MANIPUR","Both",2001,"Anaesthesia",10,275,22,"PG","Manipur"
"264",264,"MEGHALAYA","Both",2001,"Anaesthesia",2,294,23,"PG","Meghalaya"
"265",265,"NCT OF DELHI","Both",2001,"Anaesthesia",126,95,10,"PG","NCT of Delhi"
"266",266,"ODISHA","Both",2001,"Anaesthesia",15,384,26,"PG","Odisha"
"267",267,"PUDUCHERRY","Both",2001,"Anaesthesia",0,636,27,"PG","Puducherry"
"268",268,"PUNJAB","Both",2001,"Anaesthesia",50,49,28,"PG","Punjab"
"269",269,"RAJASTHAN","Both",2001,"Anaesthesia",62,119,29,"PG","Rajasthan"
"270",270,"SIKKIM","Both",2001,"Anaesthesia",0,244,30,"PG","Sikkim"
"271",271,"TAMIL NADU","Both",2001,"Anaesthesia",118,616,31,"PG","Tamil Nadu"
"272",272,"UTTAR PRADESH","Both",2001,"Anaesthesia",50,146,34,"PG","Uttar Pradesh"
"273",273,"UTTARAKHAND","Both",2001,"Anaesthesia",5,64,35,"PG","Uttarakhand"
"274",274,"WEST BENGAL","Both",2001,"Anaesthesia",22,339,36,"PG","West Bengal"
"275",275,"ANDAMAN & NICOBAR ISLAND","Both",2018,"Anaesthesia",0,638,1,"PG","Andaman & Nicobar Island"
"276",276,"ANDHRA PRADESH","Both",2018,"Anaesthesia",174,553,2,"PG","Andhra Pradesh"
"277",277,"ASSAM","Both",2018,"Anaesthesia",40,324,4,"PG","Assam"
"278",278,"BIHAR","Both",2018,"Anaesthesia",57,209,5,"PG","Bihar"
"279",279,"CHANDIGARH","Both",2018,"Anaesthesia",57,55,6,"PG","Chandigarh"
"280",280,"CHHATTISGARH","Both",2018,"Anaesthesia",10,414,7,"PG","Chhattisgarh"
"281",281,"GOA","Both",2018,"Anaesthesia",10,585,11,"PG","Goa"
"282",282,"GUJARAT","Both",2018,"Anaesthesia",220,474,12,"PG","Gujarat"
"283",283,"HARYANA","Both",2018,"Anaesthesia",68,70,13,"PG","Haryana"
"284",284,"HIMACHAL PRADESH","Both",2018,"Anaesthesia",33,30,14,"PG","Himachal Pradesh"
"285",285,"JAMMU & KASHMIR","Both",2018,"Anaesthesia",63,14,15,"PG","Jammu & Kashmir"
"286",286,"JHARKHAND","Both",2018,"Anaesthesia",6,355,16,"PG","Jharkhand"
"287",287,"KARNATAKA","Both",2018,"Anaesthesia",350,556,17,"PG","Karnataka"
"288",288,"KERALA","Both",2018,"Anaesthesia",127,598,18,"PG","Kerala"
"289",289,"MADHYA PRADESH","Both",2018,"Anaesthesia",81,465,20,"PG","Madhya Pradesh"
"290",290,"MAHARASHTRA","Both",2018,"Anaesthesia",398,522,21,"PG","Maharashtra"
"291",291,"MANIPUR","Both",2018,"Anaesthesia",20,275,22,"PG","Manipur"
"292",292,"MEGHALAYA","Both",2018,"Anaesthesia",4,294,23,"PG","Meghalaya"
"293",293,"NCT OF DELHI","Both",2018,"Anaesthesia",293,95,10,"PG","NCT of Delhi"
"294",294,"ODISHA","Both",2018,"Anaesthesia",67,384,26,"PG","Odisha"
"295",295,"PUDUCHERRY","Both",2018,"Anaesthesia",49,636,27,"PG","Puducherry"
"296",296,"PUNJAB","Both",2018,"Anaesthesia",73,49,28,"PG","Punjab"
"297",297,"RAJASTHAN","Both",2018,"Anaesthesia",207,119,29,"PG","Rajasthan"
"298",298,"SIKKIM","Both",2018,"Anaesthesia",0,244,30,"PG","Sikkim"
"299",299,"TAMIL NADU","Both",2018,"Anaesthesia",261,616,31,"PG","Tamil Nadu"
"300",300,"TELANGANA","Both",2018,"Anaesthesia",137,532,32,"PG","Telangana"
"301",301,"TRIPURA","Both",2018,"Anaesthesia",2,291,33,"PG","Tripura"
"302",302,"UTTAR PRADESH","Both",2018,"Anaesthesia",211,146,34,"PG","Uttar Pradesh"
"303",303,"UTTARAKHAND","Both",2018,"Anaesthesia",28,64,35,"PG","Uttarakhand"
"304",304,"WEST BENGAL","Both",2018,"Anaesthesia",134,339,36,"PG","West Bengal"
"305",305,"ANDHRA PRADESH","Private",2001,"Anaesthesia",0,553,2,"PG","Andhra Pradesh"
"306",306,"TELANGANA","Private",2001,"Anaesthesia",0,NA,NA,"PG","Telangana"
"307",307,"ANDHRA PRADESH","Public",2001,"Anaesthesia",95,553,2,"PG","Andhra Pradesh"
"308",308,"TELANGANA","Public",2001,"Anaesthesia",95,NA,NA,"PG","Telangana"
"309",309,"ANDHRA PRADESH","Both",2001,"Anaesthesia",95,553,2,"PG","Andhra Pradesh"
