"","State","Management","Year","Specialisation","Seats","censuscode","ST_CEN_CD","UG_PG","st_new"
"74","HARYANA","Public","2018","All","314","70","13","PG","Haryana"
"75","HIMACHAL PRADESH","Public","2018","All","223","30","14","PG","Himachal Pradesh"
"76","JAMMU & KASHMIR","Public","2018","All","453","14","15","PG","Jammu & Kashmir"
"77","JHARKHAND","Public","2018","All","215","355","16","PG","Jharkhand"
"78","KARNATAKA","Public","2018","All","1229","556","17","PG","Karnataka"
"79","KERALA","Public","2018","All","941","598","18","PG","Kerala"
"80","MADHYA PRADESH","Public","2018","All","539","465","20","PG","Madhya Pradesh"
"81","MAHARASHTRA","Public","2018","All","2386","522","21","PG","Maharashtra"
"82","MANIPUR","Public","2018","All","207","275","22","PG","Manipur"
"83","MEGHALAYA","Public","2018","All","22","294","23","PG","Meghalaya"
"84","ODISHA","Public","2018","All","503","384","26","PG","Odisha"
"85","PUDUCHERRY","Public","2018","All","317","636","27","PG","Puducherry"
"86","PUNJAB","Public","2018","All","395","49","28","PG","Punjab"
"87","RAJASTHAN","Public","2018","All","1225","119","29","PG","Rajasthan"
"88","TAMIL NADU","Public","2018","All","1909","616","31","PG","Tamil Nadu"
"89","TELANGANA","Public","2018","All","891","532","32","PG","Telangana"
"90","TRIPURA","Public","2018","All","25","291","33","PG","Tripura"
"91","UTTAR PRADESH","Public","2018","All","1424","146","34","PG","Uttar Pradesh"
"92","UTTARAKHAND","Public","2018","All","74","64","35","PG","Uttarakhand"
"93","WEST BENGAL","Public","2018","All","1375","339","36","PG","West Bengal"
"94","ASSAM","Both","2001","All","294","324","4","PG","Assam"
"95","BIHAR","Both","2001","All","257","209","5","PG","Bihar"
"96","CHANDIGARH","Both","2001","All","30","55","6","PG","Chandigarh"
"97","CHHATTISGARH","Both","2001","All","54","414","7","PG","Chhattisgarh"
"98","GOA","Both","2001","All","49","585","11","PG","Goa"
"99","GUJARAT","Both","2001","All","333","474","12","PG","Gujarat"
"100","HARYANA","Both","2001","All","203","70","13","PG","Haryana"
"101","HIMACHAL PRADESH","Both","2001","All","12","30","14","PG","Himachal Pradesh"
"102","JAMMU & KASHMIR","Both","2001","All","155","14","15","PG","Jammu & Kashmir"
"103","JHARKHAND","Both","2001","All","66","355","16","PG","Jharkhand"
"104","KARNATAKA","Both","2001","All","1572","556","17","PG","Karnataka"
"105","KERALA","Both","2001","All","307","598","18","PG","Kerala"
"106","MADHYA PRADESH","Both","2001","All","524","465","20","PG","Madhya Pradesh"
"107","MAHARASHTRA","Both","2001","All","1594","522","21","PG","Maharashtra"
"108","MANIPUR","Both","2001","All","104","275","22","PG","Manipur"
"109","MEGHALAYA","Both","2001","All","2","294","23","PG","Meghalaya"
"110","NCT OF DELHI","Both","2001","All","1609","95","10","PG","NCT of Delhi"
"111","ODISHA","Both","2001","All","78","384","26","PG","Odisha"
"112","PUDUCHERRY","Both","2001","All","107","636","27","PG","Puducherry"
"113","PUNJAB","Both","2001","All","371","49","28","PG","Punjab"
"114","RAJASTHAN","Both","2001","All","602","119","29","PG","Rajasthan"
"115","SIKKIM","Both","2001","All","0","244","30","PG","Sikkim"
"116","TAMIL NADU","Both","2001","All","1162","616","31","PG","Tamil Nadu"
"117","UTTAR PRADESH","Both","2001","All","636","146","34","PG","Uttar Pradesh"
"118","UTTARAKHAND","Both","2001","All","70","64","35","PG","Uttarakhand"
"119","WEST BENGAL","Both","2001","All","507","339","36","PG","West Bengal"
"120","ANDAMAN & NICOBAR ISLAND","Both","2018","All","0","638","1","PG","Andaman & Nicobar Island"
"121","ANDHRA PRADESH","Both","2018","All","1869","553","2","PG","Andhra Pradesh"
"122","ASSAM","Both","2018","All","527","324","4","PG","Assam"
"123","BIHAR","Both","2018","All","688","209","5","PG","Bihar"
"124","CHANDIGARH","Both","2018","All","552","55","6","PG","Chandigarh"
"125","CHHATTISGARH","Both","2018","All","121","414","7","PG","Chhattisgarh"
"126","GOA","Both","2018","All","122","585","11","PG","Goa"
"127","GUJARAT","Both","2018","All","2054","474","12","PG","Gujarat"
"128","HARYANA","Both","2018","All","574","70","13","PG","Haryana"
"129","HIMACHAL PRADESH","Both","2018","All","226","30","14","PG","Himachal Pradesh"
"130","JAMMU & KASHMIR","Both","2018","All","471","14","15","PG","Jammu & Kashmir"
"131","JHARKHAND","Both","2018","All","215","355","16","PG","Jharkhand"
"132","KARNATAKA","Both","2018","All","4176","556","17","PG","Karnataka"
"133","KERALA","Both","2018","All","1453","598","18","PG","Kerala"
"134","MADHYA PRADESH","Both","2018","All","900","465","20","PG","Madhya Pradesh"
"135","MAHARASHTRA","Both","2018","All","3929","522","21","PG","Maharashtra"
"136","MANIPUR","Both","2018","All","207","275","22","PG","Manipur"
"137","MEGHALAYA","Both","2018","All","22","294","23","PG","Meghalaya"
"138","NCT OF DELHI","Both","2018","All","2575","95","10","PG","NCT of Delhi"
"139","ODISHA","Both","2018","All","763","384","26","PG","Odisha"
"140","PUDUCHERRY","Both","2018","All","713","636","27","PG","Puducherry"
"141","PUNJAB","Both","2018","All","708","49","28","PG","Punjab"
"142","RAJASTHAN","Both","2018","All","1480","119","29","PG","Rajasthan"
"143","SIKKIM","Both","2018","All","22","244","30","PG","Sikkim"
"144","TAMIL NADU","Both","2018","All","3099","616","31","PG","Tamil Nadu"
"145","TELANGANA","Both","2018","All","1634","532","32","PG","Telangana"
"146","TRIPURA","Both","2018","All","30","291","33","PG","Tripura"
"147","UTTAR PRADESH","Both","2018","All","2125","146","34","PG","Uttar Pradesh"
"148","UTTARAKHAND","Both","2018","All","251","64","35","PG","Uttarakhand"
"149","WEST BENGAL","Both","2018","All","1490","339","36","PG","West Bengal"
"150","ANDHRA PRADESH","Private","2001","All","9","553","2","PG","Andhra Pradesh"
"151","TELANGANA","Private","2001","All","9","NA","NA","PG","Telangana"
"152","ANDHRA PRADESH","Public","2001","All","907","553","2","PG","Andhra Pradesh"
"153","TELANGANA","Public","2001","All","907","NA","NA","PG","Telangana"
"154","ANDHRA PRADESH","Both","2001","All","916","553","2","PG","Andhra Pradesh"
"155","TELANGANA","Both","2001","All","916","NA","NA","PG","Telangana"
